Stop Name,total_tickets,open_tickets,closed_tickets,avg_open_ticket_age_days,max_open_ticket_age_days,disrepair_window_days,disrepair_window_years,confirmed_repairs,liability_tier,liability_score,closed_tickets_age_gt_0_system,documented_budget_or_repair_order_system,flagged_for_capital_improvement_system,pdf_evidence_available,repair_status_verdict,evidence_summary
Guadalupe/16th Street,138,116,22,599.5,1180,1185,3.24,0.0,CRITICAL,99.4,0,0,0,False,No,"No documented repair evidence in current dataset; all recorded closures are administrative same-day closures (Age Days = 0), and no budget/capital inclusion is flagged in available records."
Guadalupe/W. 21st Street,112,91,21,602.5,1170,1175,3.22,0.0,CRITICAL,89.0,0,0,0,False,No,"No documented repair evidence in current dataset; all recorded closures are administrative same-day closures (Age Days = 0), and no budget/capital inclusion is flagged in available records."
Guadalupe/4th,92,75,17,547.5,1192,1197,3.28,0.0,CRITICAL,81.2,0,0,0,False,No,"No documented repair evidence in current dataset; all recorded closures are administrative same-day closures (Age Days = 0), and no budget/capital inclusion is flagged in available records."
1609 Lavaca/17th (Midblock),142,113,29,591.8,1185,1190,3.26,0.0,HIGH,69.9,0,0,0,False,No,"No documented repair evidence in current dataset; all recorded closures are administrative same-day closures (Age Days = 0), and no budget/capital inclusion is flagged in available records."
UT Dean Keeton Station (NB),98,70,28,532.7,1179,1184,3.24,0.0,HIGH,65.0,0,0,0,False,No,"No documented repair evidence in current dataset; all recorded closures are administrative same-day closures (Age Days = 0), and no budget/capital inclusion is flagged in available records."
Lavaca/4th,135,106,29,609.2,1196,1201,3.29,0.0,ELEVATED,60.7,0,0,0,False,No,"No documented repair evidence in current dataset; all recorded closures are administrative same-day closures (Age Days = 0), and no budget/capital inclusion is flagged in available records."
Vic Mathias/Auditorium Shores (SB),95,71,24,627.9,1182,1196,3.27,0.0,ELEVATED,58.4,0,0,0,False,No,"No documented repair evidence in current dataset; all recorded closures are administrative same-day closures (Age Days = 0), and no budget/capital inclusion is flagged in available records."
Republic Square Station (NB),82,64,18,555.0,1169,1174,3.21,0.0,ELEVATED,55.9,0,0,0,False,No,"No documented repair evidence in current dataset; all recorded closures are administrative same-day closures (Age Days = 0), and no budget/capital inclusion is flagged in available records."
North Lamar Transit Center,67,52,15,665.1,1168,1173,3.21,0.0,ELEVATED,55.4,0,0,0,False,No,"No documented repair evidence in current dataset; all recorded closures are administrative same-day closures (Age Days = 0), and no budget/capital inclusion is flagged in available records."
8th Street NB (Trinity/8th),68,44,24,551.5,1126,1131,3.1,0.0,ELEVATED,52.7,0,0,0,False,No,"No documented repair evidence in current dataset; all recorded closures are administrative same-day closures (Age Days = 0), and no budget/capital inclusion is flagged in available records."
501 Pleasant Valley/5th,85,67,18,604.7,1195,1200,3.29,0.0,ELEVATED,52.2,0,0,0,False,No,"No documented repair evidence in current dataset; all recorded closures are administrative same-day closures (Age Days = 0), and no budget/capital inclusion is flagged in available records."
West 38th Station (SB),72,55,17,651.9,1194,1199,3.28,0.0,ELEVATED,51.6,0,0,0,False,No,"No documented repair evidence in current dataset; all recorded closures are administrative same-day closures (Age Days = 0), and no budget/capital inclusion is flagged in available records."
115 7Th/Colorado,88,68,20,685.8,1176,1181,3.23,0.0,ELEVATED,51.0,0,0,0,False,No,"No documented repair evidence in current dataset; all recorded closures are administrative same-day closures (Age Days = 0), and no budget/capital inclusion is flagged in available records."
Northcross Station (SB),78,60,18,622.2,1181,1186,3.25,0.0,MODERATE,49.4,0,0,0,False,No,"No documented repair evidence in current dataset; all recorded closures are administrative same-day closures (Age Days = 0), and no budget/capital inclusion is flagged in available records."
Bluebonnet Station (SB),75,52,23,555.3,1170,1175,3.22,0.0,MODERATE,49.2,0,0,0,False,No,"No documented repair evidence in current dataset; all recorded closures are administrative same-day closures (Age Days = 0), and no budget/capital inclusion is flagged in available records."
