source_document,page,snippet,matched_keyword
Annual Report on Funding Recommendations Fiscal Year 2026 - FY26-AR-Appendix-A-Project-Ratings.pdf,4,"CORECAPACITYPROJECTS
Phase
State , City , Project
Environmental
Benefits
Rating
Mobility
Improvements
Rating
Congestion
Relief
Rating
Cost
Effectiveness
Rating
Economic
Development
Rating
CapacityNeeds
Rating
ProjectJustification
SummaryRating
CoreCapacityEngineering
CoreCapacityProjectDevelopment
UTSaltLakeCity , FrontRunner2XMediumMedium - LowHighMediumMediumMediumMedium
NEWSTARTSPROJECTS
Phase
State , City , Project
Environmental
Benefits
Rating
Mobility
Improvements
Rating
Congestion
Relief
Rating
Cost
Effectiveness
Rating
Economic
Development
Rating
LandUse
Rating
ProjectJustification
SummaryRating
NewStartsEngineering
CASanFrancisco , TransbayProgramDowntownExtensionHighMediumMediumLowMedium - HighHighMedium - High
CASanJose , BARTSiliconValleyPhaseIIExtensionHighMediumMediumLowHighM",improvement
FY24-Approved-Audit-Plan.pdf,1,"Significantdeviationswillbeshared
withtheATPBoard , inadditiontoourprogressoncompletingthisplan .",progress
FY24-Approved-Audit-Plan.pdf,2,"Arereportingmethods
effectivelycommunicatingtheproject ' sprogress , includingwhetherATP
isonscheduleandwithinbudgetforprojectdelivery ?",progress
FY25-Approved-Audit-Plan.pdf,1,"Significantdeviationswillbeshared
withtheATPBoard , inadditiontoourprogressoncompletingthisplan .",progress
FY25-Approved-Audit-Plan.pdf,1,"Tokeeppacewiththiscriticalprofessionalevolution , andtoensurethe
credibilityandreliabilityofATP ’ sInternalAuditfunction , wewilldedicatesomeof
oureffortstoadaptingourInternalAuditCharter , policiesandprocedures , and
administrativeprocessesandrecordstothisnewguidance .",ada
FY25-Approved-Audit-Plan.pdf,2,"2
AUDIT & ADVISORYSERVICEPROJECTS
TopicPreliminaryObjectiveTypeSource
1
Performance
Measurement
HasATPdefinedandtrackedmeasuresofATP ' ssuccessand
effectivelycommunicatedprogresstowardsmeetingmeasures ?",progress
FY25-Approved-Audit-Plan.pdf,2,"Advisory
Service
InternalAudit
OTHERPROJECTS
TopicPreliminaryObjective
AnnualAudit
Planning
Performentity - wideriskevaluationandpreparenextyear ’ sannualauditplan
Adoptionofnew
auditstandards
UpdateInternalAuditCharter , policiesandprocedures , andadministrativeprocessesandrecords
toensurecompliancewithnewGlobalInternalAuditStandards
Ethics
Investigations
2
Reviewcomplaintsreceivedthroughtheethicshotlineandconductinvestigationsasneeded
AuditFollowUpEvaluatemanagementactionstakentoaddresspreviouslyissuedauditrecommendations
OtherRisk
AdvisoryServices
• ProvideinputonATPpoliciesandprocessestoenhanceinternalcontrols , asrequestedby
management
• Participateasriskadvisorinvariouscapacities
• Providefraud , waste , andabusetrainingandeducation
1
Theresourcesneededtocarryoutthisauditplanareconsi",compliance
FY25-Approved-Audit-Plan.pdf,2,starcompliance .,compliance
FY26 Approved Annual Audit Plans - FY26-Annual-Audit-Plan.pdf,1,"Thisplanalsoincludesourannualfollowupwork , asdetailed
intheauditrecommendationsdashboard , sowecancontinuously
monitortheprogressATPmakesinaddressingrisksand
recommendationsnotedinpreviousyears .",progress
FY26 Approved Annual Audit Plans - FY26-Annual-Audit-Plan.pdf,1,"Significant
deviationswillbesharedwiththeATPBoard , inadditiontoourprogress
oncompletingthisplan .",progress
FY26 Approved Annual Audit Plans - FY26-Annual-Audit-Plan.pdf,1,"To
keeppacewiththisprofessionalevolution , andtoensurethecredibility
andreliabilityofATP ’ sInternalAuditfunction , weadaptedourInternal
AuditCharter , policiesandprocedures , andadministrativeprocessesto
thisnewguidance .",ada
FY26 Approved Annual Audit Plans - FY26-Annual-Audit-Plan.pdf,1,"Inadditiontoadjustingourpoliciestoaccountfor
changestotitles , weupdatedourguidingdocumentstoreflectnew
requirementsregarding : exercisingprofessionalskepticismandcourage ,
thepurposeandBoardoversightofInternalAuditing , ourquality
assuranceimprovementprogram , andhowweimplementITresources .",improvement
FY26 Approved Annual Audit Plans - FY26-Annual-Audit-Plan.pdf,2,"AuditInternalAudit
Interlocal
Agreements
Whatprogresshasbeenmadetodevelop , execute ,
andmonitorinterlocalagreements ( ILAs ) thatdefine
rolesandresponsibilitiesinsupportofadvancing
ProjectConnect ?",progress
"ORDINANCE AMENDMENT REVIEW SHEET - 2025_05_13, Regular Meeting Backup, Planning Commission.PDF.pdf",1,"FY2025 - 2026CapitalImprovementRecommendations
Item : XX
Description : FY2025 - 2026CapitalImprovementRecommendations
Background : RequiredbyCityCharter , ArticleX .",improvement
"ORDINANCE AMENDMENT REVIEW SHEET - 2025_05_13, Regular Meeting Backup, Planning Commission.PDF.pdf",1,"ThePlanning
Commission – PowersandDuties :
“ ThePlanningCommissionshall : ( 4 ) Submitannuallytothecitymanager , notlessthan90
dayspriortothebeginningofthebudgetyear , alistofrecommendedcapitalimprovements ,
whichintheopinionofthecommissionarenecessaryordesirabletoimplementtheadopted
comprehensiveplanorelementorportionthereofduringtheforthcomingfive - yearperiod .",improvement
"ORDINANCE AMENDMENT REVIEW SHEET - 2025_05_13, Regular Meeting Backup, Planning Commission.PDF.pdf",1,"”
SummaryofItem :
ThesecapitalimprovementsareintendedtofurthertheCity ’ slong - termvisionandaspiration
ofbeinga “ beaconofsustainability , socialequityandeconomicopportunity ; wherediversity
andcreativityarecelebrated ; wherecommunityneedsandvaluesarerecognized ; where
leadershipcomesfromitscitizensandwherethenecessitiesoflifeareaffordableand
accessibletoall ” ( ImagineAustinVision , p .",equity
